"(iv)","The","external","examiners","have","given","valuable","recommendations","for"
"","","improvements. Those shall he implemented.","","","","","",""
"The  panel  had  refused  to  give  full  recognition  for  five  years.  However,  the  panel  had","","","","","","","",""
"recommended a conditional recognition for 2013-2014 intakes for a period of two years.","","","","","","","",""
"This decision had been communicated to the Education Committee of the 1st Respondent,","","","","","","","",""
"which again was based on the same report that had recommended a conditional recognition","","","","","","","",""
"for a period of two years for the same degree programme. It was the contention of the 1st","","","","","","","",""
"Respondent that since there were serious omissions and improvements to be met, the 1st","","","","","","","",""
"Respondent had decided to appoint another Committee to look into the issue of conditional","","","","","","","",""
"recognition.  It  was  their  contention  that  the  issues  raised  by  the  Evaluation  Panel  were","","","","","","","",""
"serious and especially in view of the fact that they had unanimously not recommended the","","","","","","","",""
"recognition for a five-year period. The 1st Respondent had appointed another committee.","","","","","","","",""
"The Petitioners’ main argument is that once the Evaluation Panel and Education Committee","","","","","","","",""
"(sometimes  referred  to  as  “Education  Standing  Committee”)  made  their  decision  the  1st","","","","","","","",""
"Respondent cannot appoint another committee and that there is no provision for appointing","","","","","","","",""
"a third committee (herein referred to as “the sub-committee”). Thus, it was argued that the","","","","","","","",""
"appointment of the sub-committee is ultra vires.","","","","","","","",""
