"","","","CA/HCC/100-2020","","","","",""
"On the following day, at about 10.00 am, the Appellant had gone to PW1’s","","","","","","","",""
"house and informed that his wife had gone to Embilipitiya to get medicine","","","","","","","",""
"for his daughter. At that time the Appellant had been wearing a T-shirt and","","","","","","","",""
"a  trouser.  PW1  had  noticed  blood  marks  on  the  T-shirt  of  the  Appellant.","","","","","","","",""
"Further, PW1 had noticed mud patches and grass particles also on his T-","","","","","","","",""
"shirt. The Appellant had not been able to speak properly and he had been in","","","","","","","",""
"a disturbed state of mind. As the behavior of the Appellant arose suspicion,","","","","","","","",""
"PW1 had gone to Makeliella Police Post and had informed PW3, who was the","","","","","","","",""
"senior police officer of the post about the suspicious behavior of the Appellant","","","","","","","",""
"and  the  disappearance  of  the  1st  and  2nd  deceased.  At  the  same  time,  the","","","","","","","",""
"Appellant also had come to the police post. The T-shirt worn by the Appellant","","","","","","","",""
"was marked as P1 through this witness.","","","","","","","",""
"PW2,  Premadasa  is  the  father  of  the  1st  deceased.  After  marriage,  his","","","","","","","",""
"daughter  and  the  Appellant  had  put  up  their  house  on  a  land  bought  by","","","","","","","",""
"them. On 16.03.2011, when the 1st  deceased was plucking tea leaves, the","","","","","","","",""
"Appellant had come there and assaulted the 1st deceased.  A complaint was","","","","","","","",""
"lodged at the Kalawana Police Station regarding this incident. As the dispute","","","","","","","",""
"was referred to the Mediation Board, the deceased persons and the Appellant","","","","","","","",""
"had gone to PW2’s house before they proceeded to the Mediation Board. On","","","","","","","",""
"24.04.2011, PW1 had informed the witness about the disappearance of his","","","","","","","",""
"daughter  and  his  granddaughter.  He  had","","","","","identified  the  bodies  of  his","","",""
"daughter and his granddaughter after exhumation.","","","","","","","",""
"PW3 PS 26166 Liyange was the senior  police officer attached to Makeliella","","","","","","","",""
"Police Post manned by the Baduraliya Police Station. On 24.04.2011 at about","","","","","","","",""
"10.45","am","PW1,  Karunaratna","had","lodged","a","complaint","about","the"
"disappearance of the deceased persons and the suspicious behavior of the","","","","","","","",""
"Appellant. As the place of incident was situated in a very lonely and isolated","","","","","","","",""
"area, he with another officer had gone to the place immediately. As nobody","","","","","","","",""
"was  found  in  that  area  and  in  the  house  of  the  Appellant,  they  had  come","","","","","","","",""
"back  to  the  police  post  and  passed  the  message  to  the  Baduraliya  Police","","","","","","","",""
"Station. While returning from the place of incident, on their  way they had","","","","","","","",""
