"Before:","Prasantha De Silva, J."
"","K.K.A.V. Swarnadhipathi, J."
"Counsel:","J.M. Wijebandara AAL with Kavindya Kuruwita AAL for the 2nd"
"","Party-Respondent-Petitioner-Appellant."
"","Ian Fernando AAL with Tharanga Karunachandra AAL for the 1st"
"","Party Respondent-Respondent-Respondent and Intervenient party of"
"","the 1st Party-Respondent-Respondent"
"Written Submissions:","Written submissions filed on 10.05.2023 by 1st Party-Respondent-"
"","Respondent-Respondent"
"filed on",""
"","Written submissions filed on 16.01.2020 by 2nd Party-Respondent-"
"","Petitioner-Appellant"
"Delivered on:","07.08.2023"
