"D","etails  of  the  aforementioned  sections  and  the  minimum  marks  that  should  be",""
"obtained are set out in the following table.","",""
"S
ection","Description","Minimum mark"
"Section 1","Contribution 
to 
teaching  and  academic","25"
"","development",""
"Section 2","Research and creative work","65"
"Section 3.1","Dissemination of knowledge","15"
"S
ection 3.2","Awards",""
"S
ection 3.3","C
ontribution  to  University  and  National",""
"","Development",""
"Total 
minimum","","115"
