"","","","exemp","","exem","",""
"","","","tion","","ption","",""
"30.04.","Match  fees","23,000","","","","Liable","to"
"09","Ruhunu","","","","","tax",""
"","Team","","","","","",""
"26.05.","Contract","4,758","8(1)(j)","814,816","13(v)","Not",""
"09","fees 
(1st","","","","","entitled",""
"","Ins.)","","","","","under","s."
"","","","","","","8(1)(j)","or"
"","","","","","","13(v)",""
"07.05.","Match  fees","","","2,056,500","13(v)","Granted",""
"09","&Win","","","","","under","s."
"","Bonus,","","","","","13(v)",""
"","Pakistan","","","","","",""
"","Tour","","","","","",""
"07.10.","Match  fees","","","1,263,000","13(v)","Granted",""
"09","NZ  Tour  of","","","","","under","s."
"","Sri Lanka","","","","","13(v)",""
"17.10.","Match  fees","","","345,000","13(v)","",""
"09","NZ  Tour  of","","","","","",""
"","Sri Lanka","","","","","",""
"17.10.","Contract","7,392","8(1)(j)","504,809","13(v)","Not",""
"09","fees-2nd","","","","","entitled",""
"","Quarter","","","","","under","s."
"","Ins.)","","","","","13(v)",""
"30.10.","Match fees,","","","258,750","13(v)","Not",""
"09","Sri Lanka A","","","","","entitled",""
"","Team &","","","","","under","s."
"","Pakistan A","","","","","13(v)",""
"","Team","","","","","",""
"23.12.","Contract","","8(1)(j)","1,335,122","13(v)","Not",""
"09","fees-3rd","","","","","entitled",""
"","Ins.)","","","","","under","s."
"","","","","","","8(1)(j)","or"
"","","","","","","13(v)",""
"02.03.","Contract","","8(1)(j)","1,346,679","13(v)","Not",""
"10","fees 
(4th","","","","","entitled",""
"","Ins.)","","","","","under","s."
"","","","","","","8(1)(j)","or"
