"Date","Description","Taxable","US$","Applic","Rupee","Applic","Exemptio"
"","","Income","","able","(Rs.)","able","n"
"","","(Rs.)","","sectio","","sectio","granted"
"","","","","n 
for","","n 
for","or"
"","","","","exem","","exem","refused"
"","","","","ption","","ption",""
"02.04.","Provincial  1","24,000","","","","","Liable 
to"
"10","day & T 20","","","","","","tax"
"23.04.","Distribution","22,727","","","","","Liable 
to"
"10","of 
Prize","","","","","","tax"
"","Ruhunu","","","","","",""
"","Team","","","","","",""
"20.04.","Match  fee-","","","","258,750","13(v)","Granted"
"10","Sri  Lanka  A","","","","","","under 
s."
"","Team 
&","","","","","","13(v)"
"","Pakistan 
A","","","","","",""
"","Team","","","","","",""
"05.07.","M. Max Asia","","","","1,199.348","13(v)","Granted"
"10","Cup 2010","","","","","","under 
s."
"","","","","","","","13(v)"
"27.07.","Mobitel","585,207","","","","","Liable 
to"
"10","Sponsorshi","","","","","","tax"
"","p","","","","","",""
"21.09.","Contract","","9288","8(1)(j)","5,757,453","13(v)","Not"
"10","fees-2nd","","","","","","entitled"
"","Ins.)","","","","","","under 
s."
"","","","","","","","8(1)(j) 
&"
"","","","","","","","13(v)"
"04.10.","ACC on A/C","","","","524,393","13(v)","Granted"
"10","Asia Cup","","","","","","under 
s."
"","","","","","","","13(v)"
"07.10.","Match 
fee","","","","1,725,000","13(v)","Granted"
"10","Sri Lanka vs.","","","","","","under 
s."
"","India 
Test","","","","","","13(v)"
"","Series","","","","","",""
"07.07.","Match 
fee","","","","2,290,220","13(v)","Granted"
"10","Sri","","","","","","under 
s."
"","Lanka/India","","","","","","13(v)"
"","/NZ","","","","","",""
"09.12.","Contract","","4655","8(1)(j)","2,878,726","13(v)","Not"
"10","fee-3rd ins.)","","","","","","entitled"
"","","","","","","","under 
s."
"","","","","","","","8(1)(j) 
&"
"","","","","","","","13(v)"
