"","Liable","Exempte","Liable","Exempted","Liable","Exempted"
"","","d 13 (v)","","13 (v)","","13 (v)"
"Match 
fees","","","153,900","","",""
"India Tour","","","","","",""
"With  Ruhunu","","","23,000","","",""
"Team","","","","","",""
"Pakistan Tour","","","","2,056,500","",""
"NZ tour","","","","1,263,000","",""
"SLA 
team","","","","345,000","",""
"with Pakistan","","","","258,750","",""
"Provincial","","","","","24,000",""
"matches","","","","","",""
"Sri Lanka with","","","","","22,727",""
"Pakistan","","","","","",""
"Max Asia Cup","","","","","","258,750"
"","","","","","","1,199,348"
"Price  money","","","","","","524,393"
"Asia Cup","","","","","",""
"Sri 
Lanka 
v.","","","","","","1,725,000"
"India test","","","","","",""
