"Year/","Value of","Value of","Total Value of","Value of","Tax Rate15%","Tax Rate","VAT payable"
"Month","Supplies of","Supplies","Supplies","Supplies","","20%",""
"","Vim & Tooth","Declared in","(15%)","Declar d in","","",""
"","Brush (15%)","VAT return","","VAT","","",""
"","","(15%)","","Return","","",""
"","","","","(15%)","","",""
"2006","","","","","","",""
"","107,875,179","1,114,301,124","1,222,176,303","","183,326,445","","183,326,445"
"January","","","","","","",""
"February","90,814,450","973,898,858","1,064,713,308","","159,706,996","","159,706,996"
"March","83,907,668","1,117,446,051","1,201,353,719","5,056,469","180,203,058","1,011,294","181,214,352"
"April","104,362,255","1,149,055,292","1,253,417,547","1,431,960","188,012,632","286,392","188,299,024"
"May","80,583,723","947,876,631","1,028,460,354","","154,269,053","","154,269,053"
"June","91,848,512","1,041,193,351","1,133,041,863","","169,956,279","","169,956,279"
"July","100,768,739","1,103,307,499","1,204,076,238","44,015","180,611,436","8,803","180,620,239"
