"relevant Appeal, the AAT has made the impugned order ‘allowing the appeal’, based on  a","","","","","","",""
"decision of the PSC which is divergent to its earlier decision upon which the Appellants had","","","","","","",""
"lodged  the  subject  Appeal.  The  AAT  without  letting  the  Appellants  to  withdraw  their","","","","","","",""
"Appeal, has decided to  ‘allow the appeal’ as a consequence to the new order made by the","","","","","","",""
"PSC.","","","","","","",""
"In  my  view","it","is  an","indirect  affirmation  of","the","fresh  decision  of","the  PSC  on","the"
"appointments. Although the PSC has changed their decision with regard to the recruitments","","","","","","",""
"of  the  Appellants  from  time  to  time,  the  AAT  had  not  made  any  inquiries  about  the","","","","","","",""
"impugned issues from anybody other than the PSC and the Appellants. It is well observed","","","","","","",""
"that by every change of such decision of PSC, depending on the event, affects either to the","","","","","","",""
"Appellants or to another set of employees, such as the Petitioners.","","","","","","",""
"Moreover,  no","","inquiry  has  been  made","","from  any  employee  who","","is  contemporary  of",""
"Appellants  by  AAT  before  arriving  at  its  final  decision.  The  issues  raised  before  the  AAT","","","","","","",""
"seems  to  be  a  long-standing  debate  between  the  relevant  category  of  employees  and  the","","","","","","",""
"authorities  of  Sri  Lanka  Railways.  If  any  authority  is  deviating  from  the  norms  of  a  SOR","","","","","","",""
"especially on matters of promotions or new recruitments, the employees of alike category of","","","","","","",""
"the same institution may eventually raise their grievances.  Therefore, I am of the view that","","","","","","",""
"the AAT has failed to notify any other public officer as the case may be of the same category","","","","","","",""
"whom the Tribunal should consider likely to have been affected by any order or decision of","","","","","","",""
"the PSC. In other words, the AAT has opted out the option provided under Section 6 (d) of","","","","","","",""
"the AAT Act which warrants a fair hearing. Based on the apparent grounds of appeal or on","","","","","","",""
"the material placed before the AAT, it is mandatory, in my view for the AAT to follow the","","","","","","",""
"procedure laid down in the said section 6(d).","","","","","","",""
"Therefore, I am of the view that the AAT has delivered a final order ‘allowing the appeal’","","","","","","",""
"without  duly  assessing  or  evaluating  the  original  grounds  of  appeal  and  also  the  issues  of","","","","","","",""
"law  and  facts  relating  to  subsequent  developments  in  changing  decisions  by  the  PSC.  The","","","","","","",""
"literal  meaning  of  the  provisions  of  the  Article  59(2)  of  the  Constitution  is  that  the  AAT","","","","","","",""
"shall have the power to alter, vary, or rescind any order or decision made by the PSC. In the","","","","","","",""
"circumstances, the AAT will have no power to act beyond the jurisdiction conferred upon it","","","","","","",""
"by  ‘allowing  an  appeal’  without  the  issues  of  law  and  the  facts  are  being  assayed  and","","","","","","",""
