"V","s."
"1",".  State  Pharmaceuticals  Corporation"
"","of Sri Lanka"
"","16th Floor, ""MEHEWARA PIYASA""."
"","No. 41, Kirula Road, Colombo 05."
"2",".  Dr. Manuj C Weerasinghe"
"","Chairman, 
State 
Pharmaceuticals"
"","Corporation (SPC)"
"","16th Floor, ""MEHEWARA PIYASA"","
"","No.41, Kirula Road, Colombo 05."
"3",".  National 
Medicines 
Regulatory"
"","Authority (NMRA)"
"","State 
Engineering 
Corporation"
"","Building (2nd Floor),"
"","No.130, W.A.D Ramanayaka Mawatha,"
"","Colombo 02."
"4",".  Dr. Saveen Semage"
"","Director  General  /  Chief  Executive"
"","Officer, National Medicines Regulatory"
"","Authority (NMRA),"
"","State 
Engineering 
Corporation"
"","Building (2nd Floor),"
