"Case  No.","Sentence"
"Colombo C.M.C. case  No. 69431/2","2 Years'  R.  I"
"Colombo C.M.C.  Case  No. 69432/2","2 years' R.1."
"Colombo C.M.C.  Case  No. 69433/2","2 Year's R.1."
"Colombo C.M.C. Case  No. 69435/2","2 Years' R.  I"
"Colombo C.M.C.  Case  No. 69437/2","2 Years'  R.1."
"Colombo C.M.C.  Case  No. 69438/2","2 Years'  R.  I"
"Colombo C.M.C.  Case  No. 70365/2","2 Years' R.  I"
"Colombo C.M.C. Case  No. 71577/2","2 Years'  R.  I"
"Colombo C.M.C.  Case  No. 69822/3","3 Year's R.  I"
"Colombo C.M.C.  Case  No. 69823/3","3 Year's R.1."
"Colombo C.M.C.  Case  No. 69825/3","3 Years'  R.1."
"Colombo C.M.C. Case  No.69826","3 Year's R.1."
"Colombo C.M.C.  Case  No.  69827/3","3 Year's R.  I"
"Colombo C.M.C.  Case  No.  69828/3","3 Years' R.  I"
"MaligakandaM.C. Case  No. 8750/2","1 Years' R.1."
"*R.  1- Rigorous Imprisonment",""
