"B
efore:","Hon. D.N. Samarakoon, J."
"Counsel:","P. Radhakrishnan instructed by S. W. Weerasooria for the Petitioner."
"","Mihiri de Alwis, Senior State Counsel for the 1st Respondent"
"","The 02nd respondent absent and unrepresented."
"Argued on:  17.01.2024",""
"W","ritten submission tendered on:     22.02.2024 and 16.10.2019 by the"
"","Petitioner."
"","05.02.2024 and 21.10.2020 by the 01st"
"","Respondent."
"D
ecided on:  29.02.2024",""
"H
on. D. N. Samarakoon J.,",""
"T
he written submissions of the petitioner says,",""
"2 | C .
  A .","W r i t   1 6 7   2 0 1 8   –   J u d g m e n t   –   J u s t i c e   D u s h m a n t a   N ."
"S a m a r a k o o n   –   2 9 t h   F e b r u a r y   2 0 2 4",""
