"","","","j"
"","","4",""
"g).","A  mandate  in  the  nature  of a  Writ of Mandamus  directing the  Respondents to","","I I"
"","","",""
"","reimburse 
any 
amount 
reduced 
and/or  deduct 
and/or 
recover 
from 
the","",""
"","Petitioner's pension forthwith;","","I"
"","","","!"
"","","",""
"h).","A  mandate  in  the  nature  of a  Writ  of Prohibition  preventing the  Respondents","","i !"
"","and/or the  relevant authorities from  making any reductions land/or deductions","",""
"","","","t"
"","and/or  recoveries  from  the  pension  and/or  from  any  other  allowances  and/or","",""
"","","",""
"","entitlements of the Petitioner.","","! I"
