"","","1.  Tikiri Kobbekaduwa,",""
"","","",""
"!","","Former Governor of the Central Province,",""
"","","Governor's Office,",""
"","","",""
"I","","Kandy.",""
"","2.","Anuradha Jayaratne,",""
"","","",""
"1 ,","3.","T.B. Tennakoon,",""
"","","","i"
"!","","",""
"","","",""
"","4.","M.M.V. Weerawardena,","I"
"","5.","A.M.Mahinda Abeykoon,","I f"
"","","",""
"","6.","R.G. Samaranayaka,",""
"","","","t"
"","7.","Nissanka Herath,",""
"","","","1"
"","8.","Gunathilaka Rajapakse,",""
"","","",""
"","9.","A.G. Sirisena,","J I ,"
