"Before:","Prasantha De Silva, J."
"","K.K.A.V. Swarnadhipathi, J."
"Counsel:","Hirosha Munsainghe AAL for the 1st Party, 2nd, 3rd, 4th Respondent-"
"","Respondent-Petitioner."
"","Shayamal Collure AAL with A.P Jayaweera AAL and P. S. Amarasinghe"
"","AAL for the 2nd Party Respondent-Petitioner-Respondent."
"Written Submissions:","2nd Party Respondent-Petitioner-Respondent filed written submissions"
"","on 14/03/2023."
"filed on",""
"","1st Party, 2nd Party, 3rd Party, 4th Respondent-Respondent-Petitioners"
"","filed written submissions on 17/03/2023."
"Delivered on:","02.05.2023"
