"","","JUDGMENT","","","",""
"P. Kumararatnam, J.","","","","","",""
"The","above-named  Accused-Appellant","(hereinafter","referred","to","as","the"
"Appellant)  was  indicted  by  the  Attorney  General  on  three  counts  under","","","","","",""
"Section 296,300 and 315 of the Penal Code in the High court of Ratnapura.","","","","","",""
"As  the  Appellant  opted  for  a  non-jury  trial,  the  trial  commenced  before  a","","","","","",""
"judge and the prosecution had led seven witnesses and marked production","","","","","",""
"P1-10 and closed the case. The Learned High Court Judge having satisfied","","","","","",""
"that  evidence  presented  by  the  prosecution  warrant  a  case  to  answer,","","","","","",""
"called for defence and explained the rights of the accused. Having selected","","","","","",""
"the right to make a statement from the dock, the Appellant had proceeded","","","","","",""
"to deny the charge by way of his dock statement.","","","","","",""
"After  considering  the  evidence  presented  by  both  the  prosecution  and  the","","","","","",""
"defence,  the  Learned  High  Court  Judge  had  convicted  the  Appellant  as","","","","","",""
"charged and imposed the sentence on 19/03/2015 as follows:","","","","","",""
