"proceedings  [per  Sedley  J.","in  R.  v.  Secretary  of State for  the  Environm ent,  ex  parte  Kirkstall"
"Valley Campaign Ltd. (1996) 3 All  E.R.  304 at 325].",""
"Breach  of  the  common","law  principles  of  natural 
justice  can  be  dealt  with  by  the  appellate"
"system  in  the tax field  [R.  v.  Brentford General Commissioners Ex. p. Chan  (1986)  S.T.C.  65;  R.  v.",""
"Commissioner for the Special Purposes of the Income Tax Acts Ex.  p.  Napier (1988) 3 All  E.R. 166;",""
"Bonin v.  Mackinlay (Inspector of Taxes) (1985) 1 All  E.R. 842].",""
"","It is of fundamental  importance that justice should  not only be  done, but should  manifestly and"
"undoubtedly  be  seen 
to  be  done","v.  Sussex  Justices,  ex.  parte 
[per  Lord  Hewart  C.J. 
in  R."
"McCarthy (1924)  1 K.B.  256].",""
"As  the  learned  counsel  for  the  Appellant  submitted,  the  assessment  under  appeal  ha s been",""
"","issued  under the  authority of the Assessor who signed  the  notice of assessment.  In  the  instant"
"case  the delegate of the Respondent and  the Assessor who se nt the notice of assessment is one",""
"and the same.",""
