"","","7"
"ප්‍ර
:","දැන් මහත්මිය කමම පුද්ගි  ඔත්මු රු ස්මග ඔය ස්ේථානකේ ක ාපමණ",""
"","කේලාවක් රුදි සිටියාද?",""
"උ:","මද කවලාවක් රුදි සිටියා.",""
"………………………………","",""
"ප්‍ර:","දැන් මහත්මිය ක්‍රිස්ේියානි පල්ලියපිහිටා ිකබන්කන් කමානවකේ වටපිටාව  ද",""
"","කමාන පාෙට ලිංවද ිකබන්කන?",""
"උ:","දුේරිය ස්ේථානයට ලිංව.",""
"ප්‍ර:","දැන් මහත්මිය දුේරිය ස්ේථානය කිේවාම, කදහිවල හන්දිකේ සිට බලනවා නේ",""
"","ක ාකහද ඔය ස්ේථානය ිකබන්කන?",""
"උ:","ක්‍රිස්ේියානි පල්ලිය අස්ල.",""
"The prosecuting counsel dropped that line of questioning at that time.","",""
"At page 161, PW9 answered as follows:","",""
"Page 161","",""
"ප්‍ර:","ඒ ක ාකහේට යනවා කියල ද කිේකේ?",""
"උ:","කබාරැල්ලලට",""
"Page 162","",""
"ප්‍ර:","කබාරැල්ලකල්ල ක ාකහේද?",""
