"Where a party invokes the provisions of section 3 of the Prescription Ordinance in order to defeat",""
"the ownership of an adverse claimant to immovable property the burden of proof rests fairly and",""
"squarely on  him to establish the starting point for his  or her acquisition  of prescriptive  rights. 12",""
"The  2nd  ""defendant  claims  that she  possessed  the corpus  from  1948.  Was  this  the  beginning of",""
"",""
"adverse possession?","I"
"Clearly there  was  a close  family  relationship  between  Cyril  Gunawardena  and  Thomas  Dias.  In","f"
"our society family relationships are  considered  important and  attracts a certain  degree of trust.",""
"","f"
"A  family  member  is 
trusted  more  than  an  outsider.  Courts  appear  to  have 
taken  this 
into",""
"",""
"consideration on the question of adverse possession  in  a claim  of prescriptive title.  In  De Silva v.","I i"
"",""
"Commissioner General of Inland Revenue13 Sharvananda J.  (as  he was then) stated that:","("
