"","Attorney  General  CA  PHC  5512005  (DB)  06.10.2005  and  case  of Ediriweera  V.  Attorney"
"","General 2006 1 Sri L.R. 25."
"","04.  Learned  counsel  further  submitted  that  the  Petitioner  is  the  sole  bread  winner of the  family.  His"
"","father had  died  in  year 2008 and he is  looking after his mother and  16-year-old sister."
"05.  Learned  State  counsel","for 
the  Respondent  submitted 
that 
the  circumstances  urged  by 
the"
"","Petitioner are common  to  all  suspects  in  remand  and  not exceptional. They have  received  the  IB"
"","extracts  only  in  June  2020  and  the  delay  was  due  to  the  Covid- I 9  pandemic.  The  victim  of the"
"","instant  case  and  the  substantive  matter  has  not  given  evidence  yet,  and  if bai I is  granted  to  the"
"","Petitioner, the  victim would  hesitate to  testify  in  Court due to  fear of assault by the  Petitioner and"
"","It  was  also  submitted  that  the  victim  had  received  several 
injuries  due  to  the 
other  suspects."
"","assault by the Petitioner."
"06.","In 
the  substantive  case, 
it 
is  alleged 
that  the  suspect  Kandambige  Chandana  with  others  had"
"","the  victim.  On 
that  complaint  the  suspect  Chandana  was 
stolen  7  bunches  of  bananas  from"
"","produced  before the  learned  Magistrate on  03.08.20 I 9 and was released on  bail. On the same day"
"","it 
is  alleged  that  the  Petitioner  with  the  other  suspects  including  Chandana  had  assaulted  the"
"","victim,  stating that he  made the complaint to the police."
"07.","The objective of the Act is to  set out, uphold and enforce the rights and entitlements of victims of"
"","crime  and  witnesses  and  to  provide  for  a  mechani sm  to  promote,  protect,  enforce  and  exercise"
"","such rights and entitlements,  in  terms of section 2 of the Act."
"08.","It is  alleged that the assault on the victim  was because he  made a complaint regarding the theft of"
"","bananas.  The  victim  had  sustained  severa l  injuries.  Further,  after  the  complaint  of assault  was"
"","made,  it  took about  10 days for  the pol ice to arrest the  Petitioner as  he and  the other suspects had"
"","been  evading arrest.  The victim  is yet to  give ev idence  in  the  substantive case.  It  is  the  bounded"
"","duty of Court to  protect the victim  from  any  kind  of interference or harassment not only  until  he"
"","3"
