"85.","Professor Priyadarshani Galappatthy,"
"86.","Professor S. Sri Ranaganathan,"
"87.","Professor K.H.S. de Silva,"
"88.","Professor D.G.H. de Silva,"
"89.","Dr. A.P. Malalasekera,"
"90.","Dr. M.R. Haniffa,"
"91.","Dr. P.R. Warathanne,"
"92.","Dr. A.H.M. Mawjood,"
"93.","Dr. D.A.S. Athukorala,"
"94.  Mr. G.K.A. Dias,",""
"95.","Professor A.P.G. Amarasinghe,"
"96.","Professor E.R.H.S.S. Ediriveera,"
"97.","Professor K.H. Tennakoon,"
"98.  Ms. Shivanee R. Illangakoon,",""
"99.","Dr. N.R. Dewasiri,"
"100.  Professor J. Uyangoda,",""
"101.  Professor Asanga Tilakaratne,",""
"102.  Dr. P.R.N. Fernando,",""
"103.  Dr. S. Senerath,",""
"104.  Professor E.D. de Silva,",""
"105.  Mr. C. Kasturiachchi,",""
"106.  Professor M.V. Vidhanapathirana,",""
"107.  Dr. A.A. Azeez,",""
"108.  Professor Nadira Karunaweera,",""
"109.  Professor D.R.C. Hanwella,",""
"110.  Professor Senka Rajapakse,",""
"111.  Professor C. Ariaranee Gunanathasan,",""
"112.  Professor M.D.S. Lokuhetti,",""
"113.  Professor Deepika Fernando,",""
"114.  Professor W.K. de Abrew,",""
"115.  Professor Varuni A de Silva,",""
"116.  Dr. Indika Karunathilaka,",""
"117.  Professor Athula Ranasinghe,",""
"118.  Professor A.M.G.N.K. Attanayake,",""
"119.  Professor Ajanatha Hapuarachchi,",""
"120.  Professor Roland Abeypala,",""
"121.  Dr. A.M. Hettige,",""
"122.  Professor Sharya Scharenguivel,",""
"123.  Professor P.S.M. Gunaratne,",""
"124.  Dr. J.K. Wijerathna,",""
"125.  Professor K.M.N. de Silva,",""
