"","3.  Justice Upali Abeyratne (Retired)","","","",""
"","","Chairman,","","",""
"","","Right to Information Commission","","",""
"4",".  Kishali Pinto-Jayawardena","","","",""
"","","Commissioner,","","",""
"","","Right to Information Commission","","",""
"","5.  Jagath Bandara Liyanaarachchi","","","",""
"","","Commissioner,","","",""
"","","Right to Information Commission","","",""
"","(all","of","Right","to","Information"
"","","Commission, Room No. 203-204,","","",""
"","","BMICH, Bauddhaloka Mawath,","","",""
"","","Colombo 07.)","","",""
