"Before:","N. Bandula Karunarathna J."
"","&"
"","R. Gurusinghe J."
"Counsel:","Ranjith Ranawaka, AAL with Kosala H. Perera AAL for the petitioner"
"","J.P. Gamage with Rasika Wellappili, AAL for the 2nd respondent"
"","Nayomi Kahawita, SC for the 1st and 3rd – 5th respondents."
"Written Submissions:","By the petitioner on 06.12.2018"
"","By the 2nd respondent on 25.07.2019"
"","Further  written 
submissions  by 
the  petitioner  on  21.01.2020"
"","Additional  written 
submissions 
by 
the 
2nd 
respondent 
on"
"","31.01.2020."
"Argued on:","10/12/2019 & 28.06.2021"
"Judgment on:","02/08/2021."
