"K.  PRIYANTHA FERNANDO, J.",""
"01.","01 S\  02 nd  and  3rd  Plaintiff Respondents  (Plaintiffs)  filed  the  above  partition"
"","action 
in 
the  District  Court  of  A vissawella  to  partition 
the 
land  called"
"","Hikgahawatta  alias  Hikowite Watta  in  extent  of approximately  01  acre  and"
"","01  rood.  Preliminary plan No.4286  was  prepared by licensed surveyor Sena"
"","Iddamalgoda  which  was  marked  and  produced  as  X  at 
the 
trial. 
In  the"
"","preliminary plan, the land was shown in 02  lots as lot Oland 02."
"02.","The  2nd  Defendant  Appellant  (Appellant)  by  her  statement  of claim,  while"
"","disputing  the  Plaintiff's  pedigree,  claimed prescriptive  title  to  lot  No  02  in"
"","the  preliminary plan.  After trial,  the  learned District Judge  in  his judgment"
"","held that the 2nd  Defendant Appellant failed  to  prove prescriptive title to  lot"
"","No.02  and  accepting  the  plaintiff's  pedigree  ordered  that  the  shares  to  be"
"","divided according to the Plaintiff's pedigree."
"03.","Being  aggrieved  by 
the  said  judgment,  Appellant  preferred 
the 
instant"
"","appeal.  The  contention  of the  Appellant  is  that  the  learned  District  Judge"
"","erred when he decided that the Appellant failed to prove his prescriptive title"
"","to  lot No.  02  of the preliminary plan X.  It is submitted by the counsel for the"
"","Appellant  that  on  the  evidence  placed  before  the  District  Court,  Appellant"
"","has  proved  that  the  Appellant  and  her  predecessors  possessed  lot  No.02"
"","exclusively against the other co-owners."
