"Before:","Prasantha De Silva, J."
"","K.K.A.V. Swarnadhipathi, J."
"Counsel:","Upul Kumarapperuma AAL with Radha Kuruwitabandara AAL, for the"
"","Petitioner-Petitioner-Petitioner"
"","Ranil Samarasooriya AAL with Thiwanka Marasinghe AAL for the"
"","Respondent-Respondent-Respondent"
"","[for both cases:  CA (PHC) APN 52/2017 and CA PHC 111/2017]"
"Written Submissions:","Written submissions filed on 02.06.2023 and 16.11.2018 by"
"","thePetitioner-Petitioner-Petitioner."
"filed on",""
"","Written submissions filed on 26.11.2018 and 27.04.2023 by the"
"","Respondent-Respondent-Respondent."
"Delivered on:","10.08.2023"
