"there was a noise as if pots and pans were being broken. Then, after seeing her mother going",""
"to the kitchen and that she had fallen asleep again.",""
"Page 112 of the appeal brief is as follows;",""
"ප්‍ර",":  දිනූෂා කීවා වළං පෙරපළන සද්දයක් ඇසුනා. අම්ම සද්දය බලන්න ගිය බව කීවා."
"උ",":  ඔව්."
"ප්‍ර",":  ඊට ෙස්පස අම්මා අපේ කාමරයට ආවද?"
"උ",":  කුස්සිය පේනවා කාමරයට. ලයිට් දැම්මාම අපේ කාමරය පේනවා කුස්සියට. කුස්සිපේ ලයිට්"
"","දැම්මා. එමෙණයි මතක. මට නින්ද ගියා."
"ප්‍ර",":  දිනූෂට ඒ පවලාපව් ආපේ නින්ද ගියාට ෙස්පසේ ආපේ ඇහැරුණාද පකොයි අවස්ථාවක පහෝ?"
"උ",":  ඇහැරුණා."
"ප්‍ර",":  ආපේ ඇහැරුපන් පකොපහොමද?"
"උ",":  කවුපදෝ පදපදපනක් මාව ඇදපෙන ගියා සාලයට. එතපකොට මට ඇහැරුණා."
"ප්‍ර",":  සාලයට ඇදපෙන ගිපේ පකොපහොමද? උස්සාපෙනද?"
"උ",":  එපහම මතකයක් නැහැ."
