"..","","",""
"","","2",""
"","","Hulftsdorp,",""
"","","Colombo  12.",""
"","","RESPONDENT - RESPONDENT",""
"","","2.  Divisional  Secretary,",""
"","","Divisional  Secretariat,",""
"","","Galenbindunuwewa.",""
"","","APPLICANT - RESPONDENT -",""
"","","RESPONDENT",""
"","Before:","P.  Padman Surasena 1 (PICA)",""
"","","K K Wickremasinghe J",""
"","Counsel;","Pubudu  Alwis  with  Hemamala  Kumari 
for","the  Respondent 
-"
"","","Petitioner - Appellant.",""
"","","Vickum  de  Abrew  SDSG 
for 
the  Applicant 
-","Respondent 
-"
"","","Respondent and  Respondent - Respondent.",""
