"81.","Professor D.T.U. Abeytunga,"
"82.","Professor R.S. Dassanayake,"
"83.","Professor S.W. Kotagama,"
"84.","Professor T.D. Silva,"
"85.","Dr. T.U. Hewage,"
"86.","Professor C.P.D.W. Mathew,"
"87.","Dr. G.R. Constantine,"
"88.","Professor Priyadarshani Galappatthy,"
"89.","Professor S. Sri Ranganathan,"
"90.","Professor K.H.S. de Silva,"
"91.","Professor D.G.H. de Silva,"
"92.","Dr. A.P. Malalasekera,"
"93.","Dr. M.R. Haniffa,"
"94.","Dr. P.R. Warathanne,"
"95.","Dr. A.H.M. Mawjood,"
"96.","Dr. D.A.S. Athukorala,"
"97.  Mr. G.K.A. Dias,",""
"98.","Professor A.P.G. Amarasinghe,"
"99.","Professor E.R.H.S.S. Ediriveera,"
"100.  Professor K.H. Tennakoon,",""
"101.  Ms. Shivanee R. Ilangakoon,",""
"102.  Dr. N.R. Dewasiri,",""
"103.  Professor J. Uyangoda,",""
"104.  Professor Asanga Tilakaratne,",""
"105.  Dr. P.R.N. Fernando,",""
"106.  Dr. S. Senarath,",""
"107.  Professor E.D. de Silva,",""
"108.  Mr. C. Kasturiarachchi,",""
"109.  Professor M.V. Vidhanapathirana,",""
"110.  Dr. A.A. Azeez,",""
"111.  Professor Nadira Karunaweera,",""
"112.  Professor D.R.C. Hanwella,",""
"113.  Professor Senaka Rajapakse,",""
"114.  Professor C. Ariaranee Gnanathasan,",""
"115.  Professor M.D.S. Lokuhetti,",""
"116.  Professor Deepika Fernando,",""
"117.  Professor W.K. de Abrew,",""
"118.  Professor Varuni A. de Silva,",""
"119.  Dr. Indika Karunathilaka,",""
"120.  Professor Athula Ranasinghe,",""
"121.  Professor A.M.G.N.K. Attanayake",""
