"2A.","LH.K.  Mahanama"
"","The Secretary,"
"","Ministry of Lands and Land"
"","Development,"
"","""Mihikatha Medura"","
"","1200/6, Rajamalwatta Road,"
"","Ba tta ra m ulla."
"03.","Hon. Janaka Bandara Tennakoon,"
"","Minister of Lands and Land"
"","Development,"
"","Ministry of Lands and Land"
"","Development,"
"","""Mihikatha Medura"","
"","1200/6, Rajamalwatta Road,"
"","Battaramulla."
"3A.","Hon. M.K.D.5.  Gunawardena,"
"","Minister of Lands and Land"
"","Development,"
"","Ministry of Lands and Land"
"","Development,"
"","""Mihikatha Medura"","
"","1200/6, Rajamalwatta Road,"
"","Battaramulla."
"3B.","Hon . John A.E. Amaratunga,"
"","Minister of Lands and Land"
"","Development,"
"","Ministry of Lands and Land"
"","Development,"
"","""Mihikatha Medura"","
"","1200/6, Rajamalwatta Road,"
"","Battaramulla."
