"Before:","Prasantha De Silva, J."
"","K.K.A.V. Swarnadhipathi, J."
"Counsel:","Heshali Pieris AAL instructed by Hashan Gunaratne AAL for the 2nd"
"","Petitioner-Appellant."
"","Rasika Dissanayake AAL with Himal Hewage AAL for the 1st Party-"
"","Respondent-Respondent."
"Written Submissions:","Written submissions filed on 23.03.2021 by the 2nd Party-Petitioner-"
"","Appellant."
"filed on",""
"","Written submissions filed on 23.03.2021 and 21.02.2022 by the1st"
"","Party-Respondent-Respondent."
"Delivered on:","08.08.2023"
