"I '",""
"","7"
"",""
"I j ,","submitted that there is  no clear definition in  the Act as to what is meant"
"","by the term 'a charitable institution or any institution maintained solely"
"",""
"1",". for the purpose of religious worship or social  service'."
"f",""
"j","It is to be  noted that the fact that the  1st  Petitioner is  not 'an institution"
"i",""
"1",""
"","which  has employed  10 or more persons' has not been  contested  by the"
"1",""
"i",""
"1",""
"","1 st and  2nd  Respondents6
• Thus, the sole question  left to be adjudicated"
"1",""
"1",""
"~","by this Court would  be the question whether the 1st  Petitioner is 'a"
"1",""
"I",""
"",""
"I I i","charitable institution or any institution maintained solely for the purpose 
of religious worship or social  service'."
"I",""
"i",""
"","The Constitution of the  1st  Petitioner,  produced  marked  P 4, shows"
"I i",""
"I ,",""
"","clearly that the primary purpose of the  1st  Petitioner is to co-ordinate,"
"",""
"I","implement, manage and  maintain a sustainable project for distribution"
"! ,",""
"I",""
"I","of pipe borne water and  meeting the needs of sanitation facilities  of"
"I",""
"","houses of Tammitagama village in the Maho Divisional  Secretariat area."
"I",""
"I",""
"I","Article 5-2-4 of the said  Constitution also  becomes noteworthy because"
"I",""
"","it has categorically restricted the membership of this organization to the"
"I",""
"I","recipients of its water supply benefits."
"","The above facts,  when taken  along  with the contents of the other"
"","provisions of the said  Constitution clearly indicate that the  1st  Petitioner"
"","6  Such  institution which  has  employed  less than 10 persons is  not liable to contribute to EPF. 
-"
