"","","",","
"•","","5",""
"","(5)","M.e.  Mathugama  69495/10  sentence  of 2 years  rigorous",""
"","","imprisonment  and  default sentence  of 3 months  simple",""
"","","imprisonment  imposed  in  respect  of  each  count 
to  run",""
"","","concurrently.",""
"","(6)","M.e.  Mathugama  69494/10  sentence of 2 years  rigorous",""
"","","imprisonment  and  default  sentence  of 3  months  simple",""
"","","imprisonment  imposed  in  respect  of each  count  to  run",""
"","","concu rrently.",""
"","(7)","M.e.  Mathugama  70885/11  sentence of 2 years  rigorous",""
"","","imprisonment  and  default sentence  of 3 months  simple",""
"","","imprisonment imposed  in  respect  of  each  count 
to  run",""
"","","concurrently.",""
"","(8)","M.e.  Mathugama  73109/11  sentence  of 2 years  rigorous",""
"","","imprisonment  and  default sentence  of 3 months  simple",""
"","","imprisonment imposed  in  respect  of  each  count 
to  run",""
"","","concu rrently.",""
"","(9)","M.e.  Mathugama  74519/11  sentence of 2 years  rigorous",""
"","","imprisonment  and  default sentence  of 3 months  simple",""
"","","imprisonment imposed  in  respect  of  each  count 
to  run",""
"","","concurrently.",""
