"","Party  Claiming","rights","to","the"
"","vehicle.","","",""
"","","Claimant – Appellant","",""
"","Vs.","","",""
"","01. Officer in Charge,","","",""
"","Police Station,","","",""
"","Wellampitiya.","","",""
"","","Complainant – Respondent","",""
"","","02. Hon. Attorney General","",""
"","","Attorney General’s Department","",""
"","Colombo 12.","","",""
"","","2nd Respondent","",""
"","","03.  Director  General  of  Motor","",""
"","Traffic,","","",""
"","","Department of Motor Traffic,","",""
"","Narahenpita.","","",""
"","","","3rd Respondent",""
"Before: Menaka Wijesundera J.","","","",""
"Neil Iddawala J.","","","",""
"","Page 2 of 9","","",""
