"10. Mr. R. Shri Dharshana"
"Abeygoonawardana"
"11. Prof. H. Abeygunawardena"
"12. Prof. Ranjith Arthanayake"
"13. Mr. Sanjaya Bandara"
"14. Mr. S.M. Gotabaya Jayarathne"
"15. Prof. Ananda Patabandige"
"16. Prof. Nimal Perera"
"17. Prof. Rohan Rajapakse"
"18. Mr. L. E. Susantha Silva"
"19. Mr. Cyril Suduwella"
"20. Mr. Upali Wijayaweera"
"21. Ven. (Prof.) Induragare"
"Dhammarathana Thero"
"22. Prof. P.M.C. Thilakeratne"
"23. D.M.Semasinghe"
"Former Vice Chancellor"
"24. Prof.  A.H.M.H. Abeyrathna"
