"","bearing Lot No. 124 depicted in FCP Plan No. 33 in the name of"
"the Petitioner.",""
"When  this  matter  was  taken  up","for  argument,  both  parties  had"
"consented to dispose the matter by way of written submissions.",""
"I  have  been  nominated  by  His  Lordship  Justice  Arjuna  Obesekera,",""
"President of the Court of Appeal (as he then was) to hear and determine",""
"this case, sitting alone.",""
"The Contention of the Petitioner",""
"The  1st  Respondent  is  the  Commissioner  General  of  Lands  assigned",""
"with the powers  for due performance of duties and function and the",""
"general supervision and control of all Government Agents and officers",""
"in respect of State Lands in terms of section 3 of the Land Development",""
"Ordinance.  The  2nd  Respondent","is 
the  Divisional  Secretary 
of"
"Thamankaduwa, Polonnaruwa who exercises powers and duties under",""
"the Land Development Ordinance subject to the supervision of the 1st",""
"Respondent.",""
"The paddy field described as Lot No. 124 in FCP Plan No. 33, an extent",""
"of  4A-1R-10P  is  the  subject  matter  in  this  case.  On  28.01.1983,  in",""
"terms of the Provisions of the Land Development Ordinance No. 19 of",""
"1935  (as  amended),  one  K.M.  Kira  obtained  a  Grant  bearing  No.",""
