"4.","In  case  Number  89327","for  cheating  and  criminal 
in  Me  Kesbewa"
"","misappropriation","and  the  second  charge  of  criminal  misappropriation"
"","can be deleted",""
"5.","In  case  Number","89328 
for  cheating  and  criminal 
in  Me  Kesbewa"
"","misappropriation","and  the  second  charge  of  criminal  misappropriation"
"","can be deleted.",""
"6.","In  case  Number","88984 
for  cheating  and  criminal 
in  Me  Kesbewa"
"","misappropriation","and  the  second  charge  of  criminal  misappropriation"
"","can be deleted.",""
"7.","In  case  Number","89513 
for  cheating  and  criminal 
in  Me  Kesbewa"
"","misappropriation","and  the  second  charge  of  criminal  misappropriation"
"","can be deleted.",""
