"Vs."
"1
.  Colombo Municipal Council"
"Town hall, Colombo 07."
"2.  Her Worship Mrs. Rosy"
"Senanayake"
"The Mayoress of Colombo,"
"Colombo Municipal Council,"
"Townhall, Colombo 07."
"3.  Roshanie Dissanayake"
"Municipal Commissioner,"
"Colombo Municipal Council,"
"Townhall, Colombo 07."
"3A.J. M. Bhadranie Jayawardhana"
"Municipal Commissioner,"
"Colombo Municipal Council,"
"Townhall, Colombo 07."
"4.  Dr. R. L. De S. Wijayamuni"
"Chief Medical Officer,"
"Colombo Municipal Council,"
"Townhall, Colombo 07."
"5.  Eng. (Mrs.) Y. Sylvester"
"Deputy Municipal Commissioner,"
"(Engineering Services),"
"Colombo Municipal Council,"
"Townhall, Colombo 07."
"Page 2 of 10"
