"2.","He 
is  also  directed 
to  report  to","the 
Special  Investigating","I ,"
"","","","~"
"","","","I"
"","","",""
"","Unit,  Police  Head  Quarters  on","the 
last  Sunday  of  every","!"
"","","",""
"","month between 9.00 a.m.  to  12.  00 noon.","","I"
"","","",""
"3.","He 
is 
also 
strongly  warned","not 
to 
interfere  with 
the","t"
"","","",""
"","prosecution  witnesses  until","the  final  determination  of  the","t"
"","","",""
"","case.","","I ,"
"4.","He 
is 
also  directed","to  hand  over 
the  passport 
to 
the",""
"","","",""
"","Magistrate's Court, Vavunia forthwith.","","i"
