"Before:","Prasantha De Silva, J."
"","K.K.A.V. Swarnadhipathi, J."
"Counsel:","M.I.M. Ishar AAL for the 3rd Party-Respondent-Petitioner"
"","V
. Pavitharan P.C. with Anuja Rasanayakham AAL and Abiramy"
"","Rajasekaran AAL instructed by Sarvanan Neelakandan Law Associate"
"","for the 1st Party-Petitioner-Respondent"
"Written Submissions:","Written submissions filed on 10/05/2023 and 21/09/2022 by 1st"
"","Party-Petitioner-Respondent"
"filed on",""
"","Written submissions filed on 29/08/2022 and 27/03/2023 by 3rd"
"","Party-Respondent-Petitioner"
"Delivered on:","14.07.2023"
