"Before:","Prasantha De Silva,"
"","K.K.A.V. Swarnadhipathi, J."
"Counsel:","Anurudhdha Dharmaratne AAL and Srihan Samaranayake AAL for the"
"","Defendant-Appellant."
"","Navin Marapana, PC, with Saumya Hettiarachchi AAL and Thanuka"
"","Meegahawatte AAL for the Plaintiff-Respondents."
"Written Submissions:","Written submissions filed on 26/03/2014, 01/04/2016, 03/12/2019"
"","and 28/02/2023 by Defendant-Appellant."
"filed on",""
"","W
ritten submissions filed on 28/02/2020 and 9/03/2023 by Plaintiff-"
"","Respondents."
"Delivered on:","02.08.2023"
