"Before:                                   Prasantha De Silva, J.",""
"K.K.A.V. Swarnadhipathi, J.",""
"Counsel:                                 Rohan Sahabandu PC with Nathasha Fernando A.A.L for the",""
"Substituted                             Plaintiff- Appellant.",""
"Erusha Kalidasa A.A.L with Thilini Sithumini A.A.L for the",""
"Substituted Defendant-Respondent.",""
"Written Submissions             16.11.2021 by the Substituted Plaintiff- Appellant.",""
"tendered on:                           29.11.2021 by the Substituted Defendant-Respondent.",""
"Argued on:                             15.11.2021",""
"Decided on:","06.01.2022"
