"1C.","Mrs. K.H.A. Meegasmulla,"
"","Commissioner General of Excise,"
"","Department of Excise,"
"","No. 34, W.A.D. Ramanayake Mawatha,"
"","Colombo 02."
"02.","A. Bodaragama,"
"","Deputy Commissioner of Excise,"
"","Department of Excise,"
"","No. 34, W.A.D. Ramanayake Mawatha,"
"","Colombo 02."
"2A.","A. Wasantha Dissanayake,"
"","Deputy Commissioner of Excise (Revenue),"
"","Department of Excise,"
"","No. 34, W.A.D. Ramanayake Mawatha,"
"","Colombo 02."
"03.","M.D. Nandasiri,"
"","Deputy Commissioner of Excise (Revenue),"
"","Department of Excise,"
"","No. 34, W.A.D. Ramanayake Mawatha,"
"","Colombo 02."
"04.","W.M.D. Bandara,"
"","Deputy Commissioner of Excise (Finance),"
"","Department of Excise,"
"","No. 34, W.A.D. Ramanayake Mawatha,"
"","Colombo 02."
