"Before:","Prasantha De Silva,"
"","K.K.A.V. Swarnadhipathi, J."
"Counsel:","S. Mandaleswaran AAL with S. Abinaga AAL for the 2nd Party-"
"","Respondent-Appellants."
"","Sriranganathan Ragul AAL instructed by S.A Kifsiya Banu AAL for the"
"","2nd named of the 1st Party Petitioner-Respondents."
"Written Submissions:","Written submissions filed on 31.01.2023 by the 2nd party of 1st Party"
"filed on","Petitioner-Respondents."
"","Written submissions filed on 13.12.2021 by the 2nd Party-Respondent-"
"","Appellants."
"Delivered on:","29.08.2023"
