"r,","","","","","","",""
"I !","","","","","","",""
"","","","","-9-","","",""
"","","Taking  all","these","into  consideration","I  set  aside","the  Order  of  the",""
"","","learned  High  Court  Judge,  dated  14.02.2013  and  the  Order  of the  learned","","","","",""
"","","Magistrate dated 12.13.2012.","","","","",""
"","","","","","","",""
"","","","Appeal  is allowed.","","~'CZ$~~","",""
"","","","","","JUDGE OF THE COURT OF APPEAL","",""
"","I agree","","","","","",""
"","","","","","~ ..","",""
"","","","","","PRESIDENT OF THE COURT OF APPEAL","",""
"","","","","","","","("
