"Facts of the case",""
"3)","The  Petitioner  has  contended  that  she  was  appointed  to  the  post  of"
"","Technology  Transfer  Officer  on  1st  December  2011  in  the  Technology"
"","Transfer Division.  In the said Division the Petitioner has worked for over"
"","10 years without any incumbrances.  She has discharged her duties with"
"","the utmost good faith and won the good will of her subordinates."
"4)","The  Petitioner  had  sought  a  transfer  in  2017  to  the  Genetics  and  Plant"
"","Breeding Division which had been refused by the Director General of the"
"","Department of Management Services."
"5)","Subsequently,  by 
letter  dated  4th  January  2021 
the  Petitioner  was"
"","transferred to a different Division of the 1st Respondent Institute.  As the"
"","Petitioner  is  a  Technology  Transfer  Officer,  she  cannot  be  placed  as  a"
"","Research Officer, even though the recruiting processes are the same, the"
"","duties of the posts are different."
"6)","Subsequently, the Petitioner had reported for duty on 19th January 2021"
"","at the Crop Protection Division and signed the attendance register in the"
"","Technology  Transfer  Division.    After  reporting  to  work  for  2  weeks,  the"
"","15th  Respondent  had  disallowed  the  Petitioner  to  report  to  work.  The"
"","Petitioner  had  made  complaints  to  the  Human  Rights  Commission  and"
"","filed a Fundamental Rights case."
"7)","After filing the Fundamental Rights case the Board of Directors of the 1st"
"","Respondent had interdicted the Petitioner without an inquiry.  Upon the"
"","Petitioner  withdrawing  the  Fundamental  Rights  case,  the  Petitioner  was"
"","issued  a  charge  sheet  by  the  1st  Respondent.    The  Petitioner  was  not"
"","given the opportunity for a fair and formal inquiry and was convicted for"
"","all charges."
"8)","On that, the Petitioner has filed this case to invoke the Writ Jurisdiction"
"","of this Court."
