"AEROSPACE","Commission","","",""
"INC,","","","",""
"Mabey 
&","Agency  service","134,883,192.26","14.451,770.58","120,431,421.68"
"Johnson Ltd","against","","",""
"","shipment","","",""
"Yaskawa","Indent","1,687,117.02","180,762.54","1,506,354.48"
"Electric","commission","","",""
"(Singapore)","","","",""
"Ltd","","","",""
"Saloon","Consultancy","16,575,360.00","1,775,931.43","14,799,428.57"
"Engineering","Services","","",""
"BHD","Design","","",""
"Furukawa","Indent","3,442,640.35","368,854.32","3,073,786.03"
"Rock Drill Co.","commission","","",""
"Ltd","","","",""
"Messier","Indent","3,611,288.70","386,923.79","3,224,364.91"
"Services","commission","","",""
"(Pte) Ltd","","","",""
"Allen","Indent","491,296.68","52,638.93","438,657.75"
"Vanguard","commission","","",""
"Limited","","","",""
"IHC 
Parts","Indent","363,713.12","38,969.26","324,743,86"
"Services B.V.","commission","","",""
"Total","","161,918,849.03","17,348,448.09","144,570,400.94"
