"l","",""
"","",""
"I ,","2",""
"~","",""
"i","",""
"1","",""
"","2. 
SSM  Sampath  Rohana  Dharmadasa,",""
"I","Municipal  Commissioner,",""
"I","",""
"","Municipal  Council,",""
"'I","",""
"~","",""
"I","Anuradhapura.",""
"I","",""
"I","",""
"","",""
"I","Hon.  Attorney General, 
3.",""
"","",""
"I","Attorney 
General's 
Department,",""
"I i","",""
"","",""
"""","Colombo  12.",""
"","RESPONDENTS",""
"","Before: 
Vijith K.  Malalgoda PC J (PICA)",""
"","P.  Padman Surasena 1",""
"","Counsel:  Senany  Dayaratne with  Pulasthi  Hewamanne for the  Petitioner,",""
"","Dharshana  Kuruppu  with  Chinthaka  Udayanga 
for  the  1st  &  2nd",""
"","Respondents,",""
"","Anusha  Samaranayake  DSG  for the 3rd  Respondent.",""
"","","i"
