"Before:","Prasantha De Silva, J."
"","K.K.A.V. Swarnadhipathi, J"
"Counsel:","Uditha Egalahewa, PC. with Ranga Dayananda AAL and Tharushi"
"","Buddhadasa AAL for the Applicant- Respondent-Petitioner"
"","A
nura Meddagedara, PC. with Srilal Danadeniya and N. Kannangara"
"","AAL instructed by Varners for the Respondent-Petitioner-Respondent"
"","B
oth counsel agreed to dispose this matter by way of Written"
"","submissions"
"Written Submissions:","26.01.2023 for the Applicant-Respondent-Appellant"
"filed on","03.08.2018 for the Respondent-Petitioner-Respondent"
"","31.07.2018 for the Applicant-Respondent-Appellant"
"Delivered on:","30.03.2023"
