"F
acts of this case",""
"4)","The  Appellant  had  contended  that  proceedings  were  held  between  the"
"","Appellant 
and 
the 
1st 
Party 
Respondent-Respondent-Respondent"
"","(hereinafter referred to as the Respondent) under Section 66 of Primary"
"","Courts’  Procedure  Act  No  44  of  1979  before  the  Magistrate’s  Court  of"
"","Kandy after facts were reported by the officer in charge of Kathugastota"
"","Police Station."
"5)","The  said  matter  had  been  instituted  due  to  a  dispute  between  the"
"","Appellant  and  the  Respondent  over  the  possession  of  the  disputed"
"","property pertinent to the Magistrate’s Court Case No. 11424/18."
"6)","In  the  said  matter,  the  Learned  Magistrate,  after  the 
inquiry,  had"
"","granted  possession  to  the  1st  Party  Respondent  in  the  Magistrate’s"
"","Court proceedings."
"7)","Aggrieved  by  the  said  Order,  the  Appellant  had  preferred  a  revision"
"","application in the Provincial High Court of Kandy and the Learned High"
"","Court Judge in the said revision matter had dismissed the application"
"","made  by  the  Appellant  on  the  grounds  that  there  are  no  exceptional"
