"T
he grounds of appeal",""
"1)","The  learned  Trial  Judge  has  failed  to  duly  analyse  and  evaluate  the"
"","evidence of the witnesses of the prosecution."
"2)","The learned Trial Judge has failed to give the Defence the benefit of the"
"","doubt,  created  by  the  evidence  of  the  Medical  Officer  called  by  the"
"","prosecution to give evidence."
"3)","As  per  the  evidence  of  PW1,  the  distance  between  the  place  of  the"
"","incident  and  the  place  where  the  deceased  was  found  is  approximately"
"","45  feet.  According  to  the  evidence  of  the  Medical  Officer,  the  deceased"
"","could  not  have  travelled  that 
far.  The 
learned  Trial  Judge  has  not"
"","correctly applied the test of probability when analysing the above facts."
"4)","The benefit of the doubt created by the evidence led by the prosecution,"
"","with regard to the identification of the accused by the sound of the voice,"
"","the identification of the accused at the crime scene, was not given to the"
"","defence by the learned Trial Judge."
"5)","The 
inquest  report  was  produced  by 
the  defence  marked  as  VX1."
"","However, the learned Trial Judge disregarded the report and solely relied"
"","on  contradictory  evidence  given  by  the  police  inspector  Kavisena.  As  a"
"","result, 
the 
learned  Trial  Judge  has 
failed 
to  analyse 
the  evidence"
"","properly."
"6)","The conclusion drawn by the learned Trial Judge regarding the evidence"
"","of  defence  witness  Amarawathie  indicates  that,  the  learned  Trial  Judge"
"","has failed to consider the said evidence duly."
"7)","The 
learned  Trial  Judge  has 
failed 
to  consider 
the 
fact 
that 
the"
"","prosecution  case  must  stand  on 
its  own.  Failing 
to  consider 
the"
