"•","","","",""
"","BEFORE","","A.H.M.D. Nawaz,J. (P/CA) and",""
"","","","Sobhitha Rajakaruna,J.",""
"","COUNSEL","","C.A.  (Writ)  86/2020  - Romesh  De  Silva,  PC",""
"","","","with  Thishya  Weragoda,  N.","Anketell 
and"
"","","","Pulasthi Rupasinghe for the Petitioners.",""
"","","Sanjeeva","Jayawardena, 
PC 
with","Naveen"
"","","","Marapana  PC, Rukshan Senadheera, Dr.  Milhan",""
"","","Mohamed","and  M.  Dissanayaka 
for","llth 
the"
"","","Respondent.","",""
"","","","Viveka  Siriwardena, DSG  for  the  1st  and  the  2ncl",""
"","","Respondents and AG","",""
"","","","c.A.  (Writ) 87/ 2020 - Thishya Weragoda with",""
"","","","Pulasthi Rupasinghe for the Petitioners.",""
"","","Sanjeeva","PC 
with 
Jayawardena,","Naveen"
"","","","Marapana, PC,  Rukshan Senadheera, Dr.  Milhan",""
"","","","Mohamed  and  M.  Dissanayaka 
for","14th 
the"
"","","Respondent.","",""
"","","","Viveka  Siriwardena,  DSG  for  the 1st  and the  2nd",""
"","","Respondents and AG.","",""
"","","","c.A. (Writ) 88/2020 - Thishya Weragoda with",""
"","","","Pulasthi Rupasinghe for  the Petitioners.",""
"","","Sanjeeva","PC 
with 
Jayawardena,","Naveen"
"","","","Marapana, PC, Rukshan Senadheera, Dr.  Milhan",""
"","","Mohamed","for 
and  M.  Dissanayaka","the  10th"
"","","Respondent.","",""
"","","","Viveka  Siriwardena,  DSG  for  the 1st  and the  2nd",""
"","","Respondents and AG.","",""
"","","","c.A. (Writ) 89/2020 - Thishya Weragoda with",""
"","","","Pulasthi Rupasinghe for the Petitioners.",""
"","","23","",""
