"","would be in a position on the material to make an adjudication"
"on the issues with the benefit of the Order of that Court.”",""
"It is to be noted that Section 154 and 164 of the Customs Ordinance",""
"provides an alternative remedy for a person aggrieved by any seizure,",""
"forfeiture  or  detention  of  goods.  However,  the  Petitioner  failed  to",""
"exhaust  such  remedy  provided 
in","law  before 
invoking  the  Writ"
"jurisdiction of this Court.",""
"The  alternative  remedy  is,  always,  not  a  bar  to  invoke  the  Writ",""
"jurisdiction  of  this  Court.  If  the  Court","is  of  the  view  that,  the"
"alternative remedy is inadequate, where there has been a violation of",""
"the principle of natural justice, where the impugned order is without",""
"jurisdiction  and  there  are  errors  on  the  face  of  the  record,  the",""
"Petitioner 
is  permitted 
to 
invoke","the  Writ 
jurisdiction  before"
"exhausting the alternative remedies provided in law.",""
"In  the  case  of  Somasunderam  Vanniasingham  Vs.  Forbes  and",""
"others (1993-2SLR-362) the Supreme Court observed that;",""
