"5.","Justice Hector Yapa"
"","Chairman,"
"","Tax Appeals Commission,"
"","No. 49/14, Galle Road, Colombo 03."
"6.","Mr. Jolly Somasundaram"
"","Member,"
"","Tax Appeals Commission,"
"","No. 49/14, Galle Road, Colombo 03."
"6A.  Mr. M. N. Junaid",""
"","Member,"
"","Tax Appeals Commission,"
"","No. 49/14, Galle Road, Colombo 03."
"7.","Mr. P. A. Pematilaka"
"","Member,"
"","Tax Appeals Commission,"
"","No. 49/14, Galle Road, Colombo 03."
"7A.  Mr. S. Swarnajothi",""
"","Member,"
"","Tax Appeals Commission,"
"","No. 49/14, Galle Road, Colombo 03."
"8.","Mrs. Swarna Liyanage"
"","Secretary,"
"","Tax Appeals Commission,"
"","No. 49/14, Galle Road, Colombo 03."
"8A.  Mrs. J. Dheemantha Ranasinghe",""
"","Secretary,"
"","Tax Appeals Commission,"
"","No. 49/14, Galle Road, Colombo 03."
"9.","Hon. Attorney General"
"","Attorney General’s Department,"
"","Colombo 12."
