"Before:","Prasantha De Silva, J."
"","K.K.A.V. Swarnadhipathi, J."
"Counsel:","Sanjeewa  Dasanayake  AAL  with  Rishi  Kamoordeen  AAL  for  the  2nd"
"","Respondent-Respondent-Appellant in CA PHC 210/2018"
"","Thishya Weagoda AAL with Dilan Nalaka AAL for the 1st Respondent-"
"","Respondent-Appellant in CA PHC 210A/2018"
"","P
radeep  Perera  AAL  with  P.D.P.  Pathirage  AAL  for  the  Respondent-"
"","Petitioner-Respondents  in  both  appeals  [CA  PHC  210/2018  and  CA"
"","PHC 210A/2018]."
"Written Submissions:","Written submissions filed on 20/04/2022 and 08/07/2022 by 2nd"
"","Party-Respondent-Respondent-Appellant"
"filed on",""
"","Written submissions filed on 25/04/2022 and 20/02/2023 by 1st"
"","Party-Respondent-Petitioner-Respondents"
"Delivered on:","04.07.2023"
