"3.","Sajith Premadasa, MP"
"","Hon. Minister of Housing and Construction,"
"","Ministry of Housing and Construction, 2nd"
"","floor, Sethsiripaya, Battaramulla."
"3a.","Mahinda Rajapaksha, MP."
"","Hon. Prime Minister and Minister of"
"","Finance, Minister of Buddhasasana,"
"","Religious & Cultural Affairs and Minister of"
"","Urban Development & Housing, Ministry of"
"","Housing and Construction, 2nd floor,"
"","Sethsiripaya, Battaramulla."
"3b.","Prasanna Ranathunga, MP."
"","Hon. Minister of Urban Development and"
"","Housing, Ministry of Housing and"
"","Construction, 2nd floor, Sethsiripaya,"
"","Battaramulla."
"4.","Nishantha Herath, Officer-in-charge, Police"
"","Station, Thalangama."
"5.","Ms. Renuka Priyadarshani Pothuwila"
"","Subpostmistress, Sub Post Office,"
"","Jayawadanagama, Battaramulla."
