"","","CA-Writ / 0239-2021",""
"","","","1.  Pitabeddara Pradeshiya Sabha"
"","","Millaela, Morawaka.",""
"","","2.  M.R. Sirirwardena",""
"","","Chairman,",""
"","","","Pitabeddara Pradeshiya Sabha,"
"","","Millaela, Morawaka.",""
"","","","RESPONDENTS"
"","","3.  Amali Nadeeshani",""
"","","Hewamadduma",""
"","","Secretary,",""
"","","","Pitabeddara Pradeshiya Sabha,"
"","","Millaela, Morawaka.",""
"","","","ADDED RESPONDENT"
"BEFORE",":","Mohammed Laffar, J.",""
"","","P. Kumararatnam, J.",""
"","","","2 | P a g e"
