"6A. K. G. C. Y. S. B. Weerakoon."
"Regional Director"
"Office of the Regional"
"Director of"
"Health Services – Matale"
"RDHS Office, MC Road,"
"Matale."
"7.   M. G. A. Thilakaratne."
"Secretary – Public Service"
"Commission of Central Province."
"7A. T. A. D. W. Dayananda."
"Secretary – Public Service"
"Commission of Central Province."
"7B. Kumuduni S. Premachandra"
"Secretary – Public Service"
"Commission of Central Province."
"8.  P. G. Amarasekara."
"Chairman – Public Service"
"Commission of Central Province."
"9.   Mr. W. M. S. D. Weerakoon."
"Member – Public Service"
"Commission of Central Province."
"10. A. M. Wais."
"Member – Public Service"
"Commission of Central Province."
"4"
