"","ection 1 has the following six components.","","","","","",""
"S
ection","","Maximum","","Marks  claimed  by","","Marks",""
"","","marks","","the Petitioner13","","allotted14",""
"1.1","Contribution 
to 
teaching","","3","","3","","2"
"","and 
academic","","","","","",""
"","development","","","","","",""
"1.2","Teaching Load","","4","","4","","2"
"1.3","Preparation 
of 
Teaching","","10","","10","","5"
"","materials","","","","","",""
"1.4","Teaching 
/ 
Professional","","10","","10","","4.5"
"","experience","","","","","",""
"1.5","Postgraduate supervision","","6","","0","","0"
"1.6","Institutional Development","","10","","10","","0"
