"","-","Vs–"
"1.","","Director General of Customs"
"","","Sri Lanka Customs,"
"","","Customs House,"
"","","No. 40 Main Street, Colombo 01"
"2.","","Mailwaganam Paskaran,"
"","","Deputy Director of Customs,"
"","","Sri Lanka Customs,"
"","","Customs House,"
"","","No. 40 Main Street, Colombo 01"
"3.","","Saman De Silva,"
"","","Deputy Director of Customs,"
"","","Sri Lanka Customs,"
"","","Customs House,"
"","","No. 40 Main Street, Colombo 01"
"4.","","Rodamas Holdings (Pvt) Limited"
"","","No. 688 Aluthmawatha Road,"
"","","Colombo 15"
"5.","","Daisang International (Pvt) Ltd.,"
"","","No. 81, Averiwatte Road,"
"","","Hendala, Wattala."
