"University of Peradeniya"
"72.  Prof. S.  Subasinghe"
"73.  Dr.  P .D.e.  Perera"
"74.  Prof.  P.  Hewage"
"75.  Prof.  H.S.e.  Perera"
"75A.  Dr.  R.A.  Maithripala"
"76.  Dr.  Sampath Gunawardana"
"76A.  Prof. S.  Wawwage"
"77.  Prof.  L.P.  Jayatissa"
"77A.  Prof. Sarath  Lekamawasam"
"78.  Mrs. W.K.K.  Athukorala"
"78A.  Mr. H.V.D.I. Abeywickrema"
"79.  Mr. Dihan Samarasekera"
"79A.  Prof. W.G.D.  Dharmarathna"
"80.  Mr. Ramya  Chandra Gunasekera"
"80A.  Prof.  L.P.  Jayathissa"
"81.  Mr. Weerasiri Rathnayake"
