"","","","2"
"","","4.  Col.  M.A.  Wanniarachchi,",""
"","","Member of the Court Martial,",""
"","","Army Headquarters,",""
"","","Colombo 03.",""
"","","5.  Col. K.P.S. Premalal,",""
"","","Member of the Court Martial,",""
"","","Army Headquarters,",""
"","","Colombo 03.",""
"","","6.  Brig. R.P. Rajapathirana,",""
"","","Judge Advocate General,",""
"","","Army Headquarters,",""
"","","Colombo 03.",""
"","","7.  Hon. Attorney General,",""
"","","Attorney General's Department,",""
"","","Colombo  12.",""
"","","RESPONDENTS",""
"","P.  Padman Surasena, J.  (PICA)","",""
"Before","","",""
"","&","",""
"","A.L.  Shiran  Gooneratne J.","",""
"","","Shavindra Fernando, PC with Asith Siriwardena &  Mrs. Eliza",""
"Counsel","","",""
"","Candappa, for the Petitioner.","",""
"","Mrs. Zuhri Zain, SSC for the Respondents.","",""
"Supported on","28/02/2018 
:","",""
"Decided on",":  28/06/2018","",""
